       2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                     ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                      参加           番号
大阪   大阪府済生会千里病院                         ○           618
大阪   市立東大阪医療センター                        ○           990
大阪   大阪府済生会茨木病院                         ○           407
大阪   守口生野記念病院                           ○           595
大阪   育和会記念病院                            ○           56
大阪   西淀病院                               ○           732
大阪   清恵会病院                              ○           272
大阪   枚方公済病院                             ○           613
大阪   なにわ生野病院                            ○           214
大阪   吹田徳洲会病院                            ○           72
兵庫   国立病院機構 神戸医療センター                    ○           54
兵庫   神戸市立医療センター中央市民病院                   ○           874
兵庫   神戸市立西神戸医療センター                      ○           554
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
兵庫   地域医療機能推進機構 神戸中央病院                  ○           783
兵庫   神鋼記念病院                             ○           312
兵庫   神戸市立医療センター西市民病院                    ○           746
兵庫   関西労災病院                             ○           436
兵庫   兵庫県立尼崎総合医療センター                     ○           782
兵庫   加古川中央市民病院                          ○           851
兵庫   西脇市立西脇病院                           ○           182
兵庫   国立病院機構 姫路医療センター                    ○           52
兵庫   姫路赤十字病院                            ○           329
兵庫   公立豊岡病院                             ○           942
兵庫   兵庫県立丹波医療センター                       ○           931
兵庫   兵庫県立淡路医療センター                       ○           354
兵庫   兵庫県立西宮病院                           ○           723
兵庫   姫路聖マリア病院                           ○           59
兵庫   明石市立市民病院                           ○           35
兵庫   神戸労災病院                             ○           463
兵庫   赤穂中央病院                             ○           374
兵庫   明和病院                               ○           896
兵庫   赤穂市民病院                             ○           573
兵庫   川西市立総合医療センター                       ○           91
兵庫   兵庫県立はりま姫路総合医療センター                  ○           162
兵庫   市立伊丹病院                             ○           319
兵庫   医療法人川崎病院                           ○           20
兵庫   甲南医療センター                           ○           916
兵庫   神戸掖済会病院                            ○           12
兵庫   宝塚市立病院                             ○           533
兵庫   北播磨総合医療センター                        ○           468
兵庫   三田市民病院                             ○           611
兵庫   神戸赤十字病院                            ○           594
兵庫   済生会兵庫県病院                           ○           836
兵庫   兵庫県立加古川医療センター                      ○           255
兵庫   明石医療センター                           ○           339
兵庫   ツカザキ病院                             ○           636
兵庫   公立宍粟総合病院                           ○           834
奈良   奈良県総合医療センター                        ○           630
奈良   天理よろづ相談所病院                         ○           772
奈良   奈良県西和医療センター                        ○           971
奈良   済生会中和病院                            ○           974
奈良   大和高田市立病院                           ○           731
奈良   土庫病院                               ○           355
       2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                     ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                      参加           番号
奈良    南奈良総合医療センター                        ○           592
奈良    市立奈良病院                             ○           175
和歌山   日本赤十字社和歌山医療センター                    ○           280
和歌山   国立病院機構 南和歌山医療センター                  ○           775
和歌山   紀南病院                               ○           708
和歌山   和歌山労災病院                            ○           132
和歌山   新宮市立医療センター                         ○           762
和歌山   ひだか病院                              ○           820
和歌山   橋本市民病院                             ○           304
和歌山   和歌山生協病院                            ○           868
鳥取    鳥取県立中央病院                           ○           404
鳥取    鳥取市立病院                             ○           92
鳥取    鳥取県立厚生病院                           ○           503
鳥取    山陰労災病院                             ○           855
鳥取    鳥取生協病院                             ○           333
鳥取    鳥取赤十字病院                            ○           454
鳥取    国立病院機構 米子医療センター                    ○           277
島根    松江市立病院                             ○           781
島根    松江赤十字病院                            ○           716
島根    島根県立中央病院                           ○           653
島根    松江生協病院                             ○           163
島根    国立病院機構 浜田医療センター                    ○           918
島根    益田赤十字病院                            ○           41
島根    大田市立病院                             ○           295
岡山    国立病院機構 岡山医療センター                    ○           395
岡山    岡山労災病院                             ○           149
岡山    岡山市立市民病院                           ○           154
岡山    岡山赤十字病院                            ○           586
岡山    岡山済生会総合病院                          ○           681
岡山    総合病院岡山協立病院                         ○           642
岡山    倉敷中央病院                             ○           334
岡山    水島協同病院                             ○           491
岡山    津山中央病院                             ○           590
岡山    倉敷成人病センター                          ○           919
岡山    岡山中央病院                             ○           808
岡山    水島中央病院                             ○           792
広島    県立広島病院                             ○           96
広島    広島市立広島市民病院                         ○           551
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                     参加           番号
広島   広島市立北部医療センター安佐市民病院                 ○           727
広島   県立二葉の里病院                           ○           232
広島   広島赤十字・原爆病院                         ○           155
広島   マツダ病院                              ○            46
広島   広島総合病院                             ○           415
広島   国立病院機構 呉医療センター･中国がんセンター            ○           479
広島   中国労災病院                             ○            75
広島   呉共済病院                              ○           207
広島   国立病院機構 福山医療センター                    ○            19
広島   興生総合病院                             ○           424
広島   尾道総合病院                             ○           294
広島   市立三次中央病院                           ○           764
広島   尾道市立市民病院                           ○           1022
広島   福山市民病院                             ○           499
広島   広島共立病院                             ○           704
広島   福島生協病院                             ○            77
広島   国立病院機構 東広島医療センター                   ○           477
広島   公立みつぎ総合病院                          ○           113
広島   日本鋼管福山病院                           ○           392
広島   中国中央病院                             ○           627
広島   国立病院機構 広島西医療センター                   ○           244
山口   国立病院機構 岩国医療センター                    ○           396
山口   山口県立総合医療センター                       ○           921
山口   国立病院機構 関門医療センター                    ○           549
山口   下関市立市民病院                           ○           761
山口   山口労災病院                             ○           837
山口   地域医療機能推進機構 徳山中央病院                  ○           188
山口   山口県済生会下関総合病院                       ○            16
山口   宇部中央病院                             ○           225
山口   周東総合病院                             ○            11
山口   済生会山口総合病院                          ○           273
山口   宇部協立病院                             ○           981
山口   地域医療機能推進機構 下関医療センター                ○           517
山口   小郡第一総合病院                           ○           969
山口   山口赤十字病院                            ○           191
徳島   徳島県立中央病院                           ○            42
徳島   徳島県鳴門病院                            ○           495
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                     病院名
府県                                     参加           番号
徳島   徳島赤十字病院                            ○           302
徳島   徳島健生病院                             ○           425
徳島   徳島市民病院                             ○           393
徳島   田岡病院                               ○           167
徳島   吉野川医療センター                          ○           452
徳島   阿南医療センター                           ○           292
徳島   徳島県立三好病院                           ○           938
香川   香川県立中央病院                           ○           800
香川   高松赤十字病院                            ○           856
香川   高松市立みんなの病院                         ○           386
香川   香川労災病院                             ○           201
香川   国立病院機構 四国こどもとおとなの医療センター            ○           1016
香川   三豊総合病院                             ○           929
香川   回生病院                               ○           714
香川   高松平和病院                             ○           1024
香川   高松病院                               ○           279
愛媛   愛媛県立中央病院                           ○           511
愛媛   松山赤十字病院                            ○           402
愛媛   愛媛労災病院                             ○           1027
愛媛   松山市民病院                             ○           100
愛媛   市立宇和島病院                            ○           853
愛媛   HITO病院                             ○           599
愛媛   愛媛生協病院                             ○           353
愛媛   市立八幡浜総合病院                          ○           560
愛媛   済生会今治病院                            ○            86
愛媛   住友別子病院                             ○           758
愛媛   西条中央病院                             ○           375
愛媛   済生会西条病院                            ○           736
愛媛   西条市立周桑病院                           ○           335
愛媛   十全総合病院                             ○           161
愛媛   愛媛県立今治病院                           ○           593
愛媛   済生会松山病院                            ○           115
高知   近森病院                               ○           810
高知   高知赤十字病院                            ○           895
高知   国立病院機構 高知病院                        ○           685
高知   高知県立幡多けんみん病院                       ○            78
高知   細木病院                               ○           756
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                     参加           番号
高知   高知県立あき総合病院                         ○           824
高知   高知医療センター                           ○           656
福岡   国立病院機構 九州医療センター                    ○           873
福岡   福岡赤十字病院                            ○           997
福岡   浜の町病院                              ○           591
福岡   千鳥橋病院                              ○            66
福岡   福岡県済生会福岡総合病院                       ○           644
福岡   福岡徳洲会病院                            ○           634
福岡   聖マリア病院                             ○           472
福岡   公立八女総合病院                           ○           806
福岡   大牟田市立病院                            ○           1011
福岡   飯塚病院                               ○           233
福岡   国立病院機構 小倉医療センター                    ○           199
福岡   九州労災病院                             ○            15
福岡   北九州市立八幡病院                          ○           357
福岡   北九州市立医療センター                        ○           382
福岡   地域医療機能推進機構 九州病院                    ○           680
福岡   製鉄記念八幡病院                           ○            30
福岡   健和会大手町病院                           ○           331
福岡   北九州総合病院                            ○           109
福岡   福岡記念病院                             ○           174
福岡   社会医療法人親仁会 米の山病院                    ○           171
福岡   福岡和白病院                             ○           984
福岡   宗像水光会総合病院                          ○           320
福岡   高木病院                               ○           194
福岡   新小文字病院                             ○           516
福岡   新行橋病院                              ○           397
福岡   九州中央病院                             ○           489
福岡   新古賀病院                              ○           242
福岡   田川市立病院                             ○           973
福岡   社会保険田川病院                           ○           975
福岡   白十字病院                              ○            80
福岡   福岡市民病院                             ○           778
福岡   国立病院機構 福岡東医療センター                   ○           448
福岡   福岡県済生会二日市病院                        ○           528
福岡   筑後市立病院                             ○           579
福岡   福岡新水巻病院                            ○           439
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
福岡   小倉記念病院                             ○           541
福岡   戸畑共立病院                             ○           284
福岡   福岡青洲会病院                            ○            1
佐賀   佐賀県医療センター好生館                       ○           1006
佐賀   唐津赤十字病院                            ○           437
佐賀   国立病院機構 嬉野医療センター                    ○           903
佐賀   国立病院機構 佐賀病院                        ○           957
佐賀   祐愛会織田病院                            ○           729
佐賀   新武雄病院                              ○           577
長崎   長崎みなとメディカルセンター                     ○           427
長崎   日本赤十字社長崎原爆病院                       ○           697
長崎   佐世保市総合医療センター                       ○           229
長崎   佐世保中央病院                            ○            3
長崎   国立病院機構 長崎医療センター                    ○           889
長崎   長崎県島原病院                            ○           537
長崎   地域医療機能推進機構 諫早総合病院                  ○           688
長崎   長崎県五島中央病院                          ○           1005
長崎   済生会長崎病院                            ○           209
長崎   佐世保共済病院                            ○           602
長崎   長崎県上五島病院                           ○           712
長崎   長崎県対馬病院                            ○           693
長崎   長崎労災病院                             ○           253
長崎   上戸町病院                              ○            76
熊本   国立病院機構 熊本医療センター                    ○           718
熊本   熊本市立熊本市民病院                         ○           173
熊本   熊本赤十字病院                            ○           861
熊本   熊本労災病院                             ○           239
熊本   熊本中央病院                             ○           905
熊本   済生会熊本病院                            ○           488
熊本   くまもと県北病院                           ○           566
熊本   荒尾市立有明医療センター                       ○           741
熊本   地域医療機能推進機構 熊本総合病院                  ○           1026
熊本   国保水俣市立総合医療センター                     ○           246
熊本   地域医療機能推進機構 人吉医療センター                ○           327
熊本   天草地域医療センター                         ○           588
熊本   くまもと森都総合病院                         ○           628
大分   国立病院機構 別府医療センター                    ○           202
       2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                     ﾏｯﾁﾝｸﾞ        受付
                         病院名
府県                                      参加           番号
大分    大分県立病院                             ○           408
大分    大分岡病院                              ○           831
大分    中津市立中津市民病院                         ○           701
大分    新別府病院                              ○           940
大分    鶴見病院                               ○           315
大分    大分中村病院                             ○           412
大分    国立病院機構 大分医療センター                    ○           979
大分    アルメイダ病院                            ○           421
大分    大分赤十字病院                            ○           43
宮崎    宮崎県立宮崎病院                           ○           596
宮崎    古賀総合病院                             ○           220
宮崎    宮崎生協病院                             ○           249
宮崎    宮崎市郡医師会病院                          ○           17
宮崎    藤元総合病院                             ○           476
宮崎    宮崎県立延岡病院                           ○           99
宮崎    宮崎県立日南病院                           ○           117
鹿児島   鹿児島市立病院                            ○           657
鹿児島   鹿児島県立大島病院                          ○           844
鹿児島   鹿児島生協病院                            ○           82
鹿児島   いまきいれ総合病院                          ○           269
鹿児島   南風病院                               ○           936
鹿児島   鹿児島市医師会病院                          ○           603
鹿児島   国立病院機構 鹿児島医療センター                   ○           658
鹿児島   大隅鹿屋病院                             ○           647
鹿児島   米盛病院                               ○           512
鹿児島   今村総合病院                             ○           359
鹿児島   霧島市立医師会医療センター                      ○           119
沖縄    沖縄県立中部病院                           ○           946
沖縄    医療法人徳洲会 中部徳洲会病院                    ○           614
沖縄    沖縄協同病院                             ○           994
沖縄    那覇市立病院                             ○           508
沖縄    南部徳洲会病院                            ○           629
沖縄    沖縄県立南部医療センター・こども医療センター             ○           695
沖縄    沖縄県立北部病院                           ○           340
沖縄    中頭病院                               ○           112
沖縄    ハートライフ病院                           ○           852
沖縄    友愛医療センター                           ○           815
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                    病院名
府県                                     参加           番号
沖縄   浦添総合病院                             ○           23
沖縄   沖縄赤十字病院                            ○           360
沖縄   北部地区医師会病院                          ○           206
沖縄   大浜第一病院                             ○           548
沖縄   沖縄県立宮古病院                           ○           787

